title,author,book_id,source,cover_url,asset_file,decision,confidence,reason
Don Quixote,Miguel de Cervantes Saavedra,don-quixote,standard-ebooks,/covers/don-quixote.jpg,public/covers/covers/don-quixote.jpg,remove,1,public-domain Standard Ebooks cover
Dorothy and the Wizard in Oz,L. Frank Baum,dorothy-and-the-wizard-in-oz,standard-ebooks,/covers/dorothy-and-the-wizard-in-oz.jpg,public/covers/covers/dorothy-and-the-wizard-in-oz.jpg,remove,1,public-domain Standard Ebooks cover
Dracula,Bram Stoker,dracula,standard-ebooks,/covers/dracula.jpg,public/covers/covers/dracula.jpg,remove,1,public-domain Standard Ebooks cover
Dubliners,James Joyce,dubliners,standard-ebooks,/covers/dubliners.jpg,public/covers/covers/dubliners.jpg,remove,1,public-domain Standard Ebooks cover
Edward II,Christopher Marlowe,edward-ii,standard-ebooks,/covers/edward-ii.jpg,public/covers/covers/edward-ii.jpg,remove,1,public-domain Standard Ebooks cover
Edward III,William Shakespeare,edward-iii,standard-ebooks,/covers/edward-iii.jpg,public/covers/covers/edward-iii.jpg,remove,1,public-domain Standard Ebooks cover
El Dorado,Baroness Orczy,el-dorado,standard-ebooks,/covers/el-dorado.jpg,public/covers/covers/el-dorado.jpg,remove,1,public-domain Standard Ebooks cover
El Filibusterismo,José Rizal,el-filibusterismo,standard-ebooks,/covers/el-filibusterismo.jpg,public/covers/covers/el-filibusterismo.jpg,remove,1,public-domain Standard Ebooks cover
Electra,Sophocles,electra,standard-ebooks,/covers/electra.jpg,public/covers/covers/electra.jpg,remove,1,public-domain Standard Ebooks cover
Elizabeth and Her German Garden,Elizabeth von Arnim,elizabeth-and-her-german-garden,standard-ebooks,/covers/elizabeth-and-her-german-garden.jpg,public/covers/covers/elizabeth-and-her-german-garden.jpg,remove,1,public-domain Standard Ebooks cover
Elmer Gantry,Sinclair Lewis,elmer-gantry,standard-ebooks,/covers/elmer-gantry.jpg,public/covers/covers/elmer-gantry.jpg,remove,1,public-domain Standard Ebooks cover
Emily of New Moon,L. M. Montgomery,emily-of-new-moon,standard-ebooks,/covers/emily-of-new-moon.jpg,public/covers/covers/emily-of-new-moon.jpg,remove,1,public-domain Standard Ebooks cover
Emma,Jane Austen,emma,standard-ebooks,/covers/emma.jpg,public/covers/covers/emma.jpg,remove,1,public-domain Standard Ebooks cover
"Erewhon: Or, Over the Range",Samuel Butler,erewhon,standard-ebooks,/covers/erewhon.jpg,public/covers/covers/erewhon.jpg,remove,1,public-domain Standard Ebooks cover
Erewhon Revisited: Twenty Years Later Both by the Original Discoverer of the Country and by His Son,Samuel Butler,erewhon-revisited,standard-ebooks,/covers/erewhon-revisited.jpg,public/covers/covers/erewhon-revisited.jpg,remove,1,public-domain Standard Ebooks cover
Essays,Henry David Thoreau,essays,standard-ebooks,/covers/essays.jpg,public/covers/covers/essays.jpg,remove,1,public-domain Standard Ebooks cover
Ethan Frome,Edith Wharton,ethan-frome,standard-ebooks,/covers/ethan-frome.jpg,public/covers/covers/ethan-frome.jpg,remove,1,public-domain Standard Ebooks cover
Eugene Onegin,Alexander Pushkin,eugene-onegin,standard-ebooks,/covers/eugene-onegin.jpg,public/covers/covers/eugene-onegin.jpg,remove,1,public-domain Standard Ebooks cover
Eugénie Grandet,Honoré de Balzac,eugenie-grandet,standard-ebooks,/covers/eugenie-grandet.jpg,public/covers/covers/eugenie-grandet.jpg,remove,1,public-domain Standard Ebooks cover
"Evelina: Or, The History of a Young Lady’s Entrance Into the World",Fanny Burney,evelina,standard-ebooks,/covers/evelina.jpg,public/covers/covers/evelina.jpg,remove,1,public-domain Standard Ebooks cover
